university_name,faculty_name,program_name,program_id,receive_student_number,min_gpax,min_total_score,scores_criteria,link
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,10010121300001A,305,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,10010121300501A,75,2.0,51.0,"{'tgat': 20, 'tpat3': 40, 'a_lv_61': 20, 'a_lv_64': 20}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,10010121300599A,90,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 50}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,10010121300601A,5,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,10010121301101A,15,2.0,48.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,10010121301601A,15,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,10010121302101A,25,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,10010121302501A,30,2.0,48.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,10010121302701A,32,2.0,48.0,"{'tgat': 20, 'tpat3': 40, 'a_lv_61': 20, 'a_lv_64': 20}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,10010121302801A,20,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,10010121303001A,20,2.0,48.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,10010121303501A,5,2.0,51.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,10010122904301A,209,2.75,0.0,"{'a_lv_70': 25, 'a_lv_81': 25, 'a_lv_82': 25, 'a_lv_87': 25}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,10010122904301A,209,2.75,0.0,"{'a_lv_70': 25, 'a_lv_81': 25, 'a_lv_82': 25, 'a_lv_87': 25}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,10010122904301A,209,2.75,0.0,"{'a_lv_70': 25, 'a_lv_81': 25, 'a_lv_82': 25, 'a_lv_87': 25}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,10010122904301A,209,2.75,0.0,"{'a_lv_70': 25, 'a_lv_81': 25, 'a_lv_82': 25, 'a_lv_87': 25}",https://admission.chula.ac.th/admission_c1.php
จุฬาลงกรณ์มหาวิทยาลัย,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,10010122904301A,209,2.75,0.0,"{'a_lv_70': 25, 'a_lv_81': 25, 'a_lv_82': 25, 'a_lv_87': 25}",https://admission.chula.ac.th/admission_c1.php
